피아노 화음 추출 (MIDI Piano RH+LH)
  기보 코드 0마디 · 대조 0 · 구성음 일치 0 (0%) · 루트 일치 0 (0%)

마디  기보        추출        박별
   1   -          C5         - - - -
   2   -          Cmaj7      - C5 C G
   3   -          Gsus4      B A D5 -
   4   -          Fsus2      C5 F5 F5 F
   5   -          G7         F G5 - -
   6   -          C          C5 - C Em
   7   -          C          C Em C Em
   8   -          C          C Em C Em
   9   -          Csus2      C Em C C
  10   -          Cmaj7      C - C C
  11   -          G6         A C Em E5
  12   -          Fsus2      F5 C5 F5 F
  13   -          Gsus4      - G - G5
  14   -          C5         C5 C5 - C5
  15   -          C5         C5 C5 - C5
  16   -          C5         - C5 - C5
  17   -          C          C5 C5 - C
  18   -          Am7        A Em A A
  19   -          Am7        - Em A A
  20   -          Fsus2      F5 F F5 C
  21   -          Gsus4      - - G G
  22   -          Am7        A E C A
  23   -          Am7        A A Am Asus2
  24   -          Fsus2      Fsus2 Fsus2 F F
  25   -          Gsus4      Gsus4 G G G5
  26   -          Dsus4      - Dm D5 G5
  27   -          Cmaj7      - - - C5
  28   -          Fsus2      - - - C5
  29   -          Csus4      G C5 - C
  30   -          C5         - C5 - -
  31   -          C5         C5 C5 - -
  32   -          C5         C5 - - C5
  33   -          C          C Em - Em
  34   -          Fsus2      Fsus2 Fsus2 F5 -
  35   -          Fsus2      F5 F5 - F5
  36   -          Gsus4      G5 G G G
  37   -          Am7        - E5 - Am
  38   -          Fsus2      Fsus2 Fsus2 F5 C5
  39   -          Fsus2      F F5 F C
  40   -          G6         G5 B G5 G
  41   -          Am7        A5 A5 E5 C
  42   -          Fsus2      F Csus4 - -
  43   -          Fmaj7      F F - F
  44   -          G6         - G G5 G
  45   -          A          A C5 A C5
  46   -          Csus4      D D - D
  47   -          Csus4      - F5 G5 D
  48   -          Csus4      C - Em C
  49   -          Cmaj7      Em Em E5 -
  50   -          F6         F F Bdim Bdim
  51   -          Fmaj7      - F Bdim F
  52   -          Gsus4      Gsus4 Gsus4 G G5
  53   -          Gsus4      G C G -
  54   -          G6         C C5 - -
  55   -          G          A A - G
  56   -          Csus4      Csus4 G - G
  57   -          Gsus4      - - G G5
  58   -          C          C - - C5
  59   -          C5         C5 C5 - C5
  60   -          C5         C5 C5 - C5
  61   -          C5         C5 C5 - C5
  62   -          Cmaj7      C - G B
  63   -          Fmaj7      A5 A G5 D
  64   -          Fsus2      F5 F5 F F
  65   -          Csus2      G5 - - -
  66   -          C5         - C5 C5 -
  67   -          C5         - - - -
  68   -          C5         - - C5 C5
  69   -          A          - - - -
  70   -          Am7        A C - -
  71   -          Fmaj7      - C G -
  72   -          Csus4      F - - -
  73   -          Csus2      - - - A
  74   -          Am7        - C G A
  75   -          Am7        A C A F
  76   -          Gsus4      Fsus2 F F G5
  77   -          G6         G5 G5 G A
  78   -          Em7        A - - B
  79   -          F6         G5 - - F
  80   -          Fsus2      F F F G5
  81   -          Csus4      - - - -
  82   -          C5         - C5 - -
  83   -          C5         - C5 - -
  84   -          C5         - C5 - -
  85   -          Csus2      - B G A
  86   -          Am7        A A A5 -
  87   -          Csus4      A A F F
  88   -          G7         F F G5 -
  89   -          G6         G G Am C
  90   -          Am7        A A - A
  91   -          Csus4      A A F5 F
  92   -          F6         F F G G
  93   -          G7         G G5 - -
  94   -          Em         Em G Em E5
  95   -          Fsus2      G G - -
  96   -          Csus4      - C5 G C5
  97   -          Csus4      - - F5 C5
  98   -          C5         - C5 - C5
  99   -          C5         - C5 - C5
 100   -          C5         - C5 - -
 101   -          Cmaj7      C5 C F F5
 102   -          F          F5 F5 - F
 103   -          G7         F Fsus2 Csus2 G
 104   -          Am7        - D A -
 105   -          Fmaj7      A Am Fsus2 C5
 106   -          Csus4      F5 C5 F F5
 107   -          Gsus4      F C G5 C5
 108   -          Am7        G6 G - -
 109   -          Fsus2      - - F5 F5
 110   -          Fsus2      - F5 - F
 111   -          Gsus4      F C G5 C5
 112   -          G6         G G A Am
 113   -          Dm7        - - Dm Dm
 114   -          G7         G D D Dm
 115   -          C6         Csus2 D E E
 116   -          Csus4      E C C -
 117   -          Dm7        - C - -
 118   -          Fmaj7      Bdim A5 - F
 119   -          Fmaj7      Bdim Fsus2 - -
 120   -          Em7        Esus4 Esus4 Dsus2 G
 121   -          Csus2      - - - G5
 122   -          Gsus4      - - A D5
 123   -          Fsus2      - C5 F5 F5
 124   -          F          F F - -
 125   -          Csus2      - - C5 -
 126   -          C5         C5 C5 C5 -
 127   -          C5         C5 C5 C5 -
 128   -          C5         C5 C5 C5 -
 129   -          Cmaj7      - C - B
 130   -          Cmaj7      - A A -
 131   -          Fsus2      - F5 F5 F
 132   -          G7         F G5 - -
 133   -          C          - - - -
 134   -          C5         - - - -
 135   -          C5         - - - -
 136   -          Csus2      C5 C5 G -
 137   -          Am7        A5 A A A
 138   -          A          A A A A
 139   -          Fsus2      F5 F F5 C
 140   -          Gsus4      G - G G
 141   -          Am7        Asus4 A A A
 142   -          A          A A A A
 143   -          Fsus2      F F F5 C
 144   -          Gsus4      Gsus4 G5 G5 C5
 145   -          Asus2      A A - -
 146   -          Em         Em - - -
 147   -          Fsus2      F5 Fsus2 F F5
 148   -          Csus4      G - Em C
 149   -          C5         C5 - C5 C5
 150   -          C5         - - - C5
 151   -          C5         - - - -
 152   -          Csus2      C5 B G5 -
 153   -          Am7        Am A A A
 154   -          Fsus2      A A A F5
 155   -          Csus4      F5 F F C5
 156   -          G6         G5 G G5 A
 157   -          A          A - - -
 158   -          Fsus2      A A - F
